# FFI Unit Definitions
# Format: discriminant,dimension,name,symbol,ratio
# Discriminant encoding: DSSCC where D=dimension (1 digit), SS=system (2 digits), CC=counter (2 digits)
# Ratio is the conversion factor to the canonical unit for that dimension
# Canonical units: Meter (Length), Second (Time), Radian (Angle), Gram (Mass), Watt (Power)

# Length units (1xxxx): 100xx=SI, 110xx=Astronomical, 120xx=Imperial, 130xx=Nautical, 150xx=Nominal
10000,Length,PlanckLength,l_P,1.616255e-35
10001,Length,Yoctometer,ym,1e-24
10002,Length,Zeptometer,zm,1e-21
10003,Length,Attometer,am,1e-18
10004,Length,Femtometer,fm,1e-15
10005,Length,Picometer,pm,1e-12
10006,Length,Nanometer,nm,1e-9
10007,Length,Micrometer,µm,1e-6
10008,Length,Millimeter,mm,0.001
10009,Length,Centimeter,cm,0.01
10010,Length,Decimeter,dm,0.1
10011,Length,Meter,m,1.0
10012,Length,Decameter,dam,10.0
10013,Length,Hectometer,hm,100.0
10014,Length,Kilometer,km,1000.0
10015,Length,Megameter,Mm,1e6
10016,Length,Gigameter,Gm,1e9
10017,Length,Terameter,Tm,1e12
10018,Length,Petameter,Pm,1e15
10019,Length,Exameter,Em,1e18
10020,Length,Zettameter,Zm,1e21
10021,Length,Yottameter,Ym,1e24
11000,Length,BohrRadius,a₀,5.29177210903e-11
11001,Length,ClassicalElectronRadius,r_e,2.8179403262e-15
11002,Length,ElectronReducedComptonWavelength,λ̄_e,3.8615926796e-13
11003,Length,AstronomicalUnit,au,149597870700.0
11004,Length,LightYear,ly,9460730472580800.0
11005,Length,Parsec,pc,30856775814913672.8
11006,Length,Kiloparsec,kpc,3.085_677_581_491_367e19
11007,Length,Megaparsec,Mpc,3.085_677_581_491_367e22
11008,Length,Gigaparsec,Gpc,3.085_677_581_491_367e25
12000,Length,Inch,in,0.0254
12001,Length,Foot,ft,0.3048
12002,Length,Yard,yd,0.9144
12003,Length,Mile,mi,1609.344
13000,Length,Link,lk,0.201168
13001,Length,Fathom,ftm,1.8288
13002,Length,Rod,rd,5.0292
13003,Length,Chain,ch,20.1168
13004,Length,NauticalMile,nmi,1852.0
15000,Length,NominalLunarRadius,R_☾,1.7374e6
15001,Length,NominalLunarDistance,LD,3.844e8
15002,Length,NominalEarthPolarRadius,R_⊕pol,6.3568e6
15003,Length,NominalEarthRadius,R_⊕,6.3781e6
15004,Length,NominalEarthEquatorialRadius,R_⊕eq,6.3781e6
15005,Length,EarthMeridionalCircumference,C_mer,40007862.917
15006,Length,EarthEquatorialCircumference,C_eq,40075016.686
15007,Length,NominalJupiterRadius,R_♃,7.1492e7
15008,Length,NominalSolarRadius,R_☉,6.957e8
15009,Length,NominalSolarDiameter,D_☉,1.3914e9
# Time units (2xxxx): 200xx=SI, 210xx=Common, 220xx=Calendar, 230xx=Astronomical
20000,Time,Attosecond,as,1e-18
20001,Time,Femtosecond,fs,1e-15
20002,Time,Picosecond,ps,1e-12
20003,Time,Nanosecond,ns,1e-9
20004,Time,Microsecond,µs,1e-6
20005,Time,Millisecond,ms,0.001
20006,Time,Centisecond,cs,0.01
20007,Time,Decisecond,ds,0.1
20008,Time,Second,s,1.0
20009,Time,Decasecond,das,10.0
20010,Time,Hectosecond,hs,100.0
20011,Time,Kilosecond,ks,1000.0
20012,Time,Megasecond,Ms,1e6
20013,Time,Gigasecond,Gs,1e9
20014,Time,Terasecond,Ts,1e12
21000,Time,Minute,min,60.0
21001,Time,Hour,h,3600.0
21002,Time,Day,d,86400.0
21003,Time,Week,wk,604800.0
21004,Time,Fortnight,fn,1209600.0
22000,Time,Year,yr,31557600.0
22001,Time,Decade,dec,315576000.0
22002,Time,Century,c,3155760000.0
22003,Time,Millennium,mill,31557600000.0
22004,Time,JulianYear,a,31557600.0
